Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed,Date
2008,6,2,1,1426,1425,1513,1515,WN,2532,N257WN,107,110,92,-2,1,TPA,BNA,612,6,9,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-02
2008,6,2,1,802,805,1038,1045,WN,732,N650SW,156,160,146,-7,-3,TPA,BUF,1054,2,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-02
2008,6,2,1,621,620,823,835,WN,1880,N452WN,122,135,110,-12,1,TPA,BWI,842,3,9,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-02
2008,6,2,1,1621,1625,1741,1725,WN,87,N662SW,80,60,66,16,-4,TPA,FLL,197,5,9,0,,0,0,0,16,0,0,YES,NO,2008-06-02
2008,6,2,1,1938,1935,2156,2155,WN,2015,N437WN,138,140,121,1,3,TPA,IAD,810,5,12,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-02
2008,6,2,1,707,710,755,800,WN,3516,N550WN,48,50,36,-5,-3,TPA,PBI,174,4,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-02
2008,6,2,1,2038,2035,2314,2310,WN,3155,N293,156,155,143,4,3,TPA,PHL,920,4,9,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-02
2008,6,2,1,2057,2100,2153,2155,WN,2264,N421LV,56,55,43,-2,-3,TUL,DAL,237,5,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-02
2008,6,2,1,1212,1210,1329,1325,WN,2634,N418WN,77,75,55,4,2,TUS,LAS,365,6,16,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-02
2008,6,2,1,1522,1520,1644,1650,WN,3573,N301SW,82,90,70,-6,2,TUS,LAX,451,5,7,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-02
2008,6,3,2,1347,1335,1954,1920,WN,1842,N254WN,247,225,227,34,12,ABQ,BWI,1670,3,17,0,,0,12,0,22,0,0,YES,YES,2008-06-03
2008,6,3,2,925,925,1456,1510,WN,2647,N755SA,211,225,201,-14,0,ABQ,BWI,1670,4,6,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1930,1935,2207,2215,WN,2202,N627SW,97,100,81,-8,-5,ABQ,DAL,580,5,11,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1742,1715,1844,1835,WN,2977,N429WN,62,80,50,9,27,ABQ,DEN,349,6,6,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-03
2008,6,3,2,935,935,1045,1055,WN,3055,N506SW,70,80,55,-10,0,ABQ,DEN,349,7,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1538,1515,1609,1545,WN,2399,N650SW,91,90,74,24,23,ABQ,LAS,487,7,10,0,,0,1,0,1,0,22,YES,YES,2008-06-03
2008,6,3,2,2112,2105,2203,2205,WN,2210,N625SW,111,120,95,-2,7,ABQ,LAX,677,6,10,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,2008,2010,2250,2305,WN,1655,N662SW,102,115,91,-15,-2,ABQ,MCI,718,3,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1455,1450,1817,1835,WN,179,N276WN,142,165,132,-18,5,ABQ,MDW,1121,3,7,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,721,720,843,845,WN,1827,N462WN,142,145,130,-2,1,ABQ,OAK,889,5,7,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,1534,1535,1553,1545,WN,1938,N607SW,79,70,64,8,-1,ABQ,PHX,328,6,9,0,,0,NA,NA,NA,NA,NA,YES,NO,2008-06-03
2008,6,3,2,822,825,926,935,WN,3049,N264LV,64,70,50,-9,-3,ALB,BWI,288,7,7,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1858,1900,1959,2005,WN,522,N733SA,61,65,50,-6,-2,AMA,DAL,324,4,7,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,705,645,1116,1100,WN,349,N524SW,191,195,176,16,20,AUS,BWI,1342,6,9,0,,0,16,0,0,0,0,YES,YES,2008-06-03
2008,6,3,2,1224,1225,1250,1255,WN,179,N276WN,86,90,77,-5,-1,AUS,ELP,528,2,7,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1818,1800,1845,1830,WN,889,N391SW,87,90,76,15,18,AUS,ELP,528,3,8,0,,0,6,0,0,0,9,YES,YES,2008-06-03
2008,6,3,2,1427,1410,1515,1500,WN,3338,N527SW,48,50,35,15,17,AUS,HOU,148,5,8,0,,0,15,0,0,0,0,YES,YES,2008-06-03
2008,6,3,2,1210,1210,1256,1300,WN,707,N719SW,166,170,152,-4,0,AUS,LAS,1090,6,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1343,1345,1714,1725,WN,1795,N200WN,151,160,133,-11,-2,AUS,MCO,993,8,10,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1433,1435,1649,1710,WN,3409,N278WN,136,155,126,-21,-2,AUS,MDW,972,3,7,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1036,1035,1058,1055,WN,2511,N365SW,142,140,128,3,1,AUS,PHX,872,7,7,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-03
2008,6,3,2,2108,2110,2216,2220,WN,785,N670SW,68,70,52,-4,-2,BDL,BWI,283,7,9,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,641,645,909,935,WN,2611,N745SW,148,170,132,-26,-4,BDL,MCO,1050,8,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,655,700,810,820,WN,2872,N920WN,135,140,121,-10,-5,BDL,MDW,777,4,10,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1755,1755,2048,2055,WN,2971,N697SW,113,120,100,-7,0,BHM,BWI,682,4,9,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1224,1155,1324,1305,WN,2629,N921WN,60,70,50,19,29,BHM,MSY,321,3,7,0,,0,1,0,0,0,18,YES,YES,2008-06-03
2008,6,3,2,1047,1050,1253,1300,WN,2610,N468WN,66,70,55,-7,-3,BHM,SDF,323,5,6,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,751,750,1024,1035,WN,3050,N659SW,93,105,84,-11,1,BNA,BWI,588,2,7,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,1944,1940,2207,2210,WN,3396,N383SW,83,90,69,-3,4,BNA,DTW,457,7,7,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,813,810,1107,1120,WN,187,N272WN,114,130,103,-13,3,BNA,FLL,793,3,8,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,922,925,1045,1045,WN,1954,N756SA,83,80,71,0,-3,BNA,MDW,395,4,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1421,1355,1535,1520,WN,2646,N425LV,74,85,59,15,26,BNA,MDW,395,8,7,0,,0,0,0,0,0,15,YES,YES,2008-06-03
2008,6,3,2,1836,1835,2055,2100,WN,3915,N610WN,79,85,67,-5,1,BNA,RDU,443,4,8,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,2034,2040,2034,2040,WN,792,N365SW,60,60,47,-6,-6,BOI,GEG,287,3,10,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1852,1825,1857,1835,WN,2610,N468WN,65,70,55,22,27,BOI,PDX,344,3,7,0,,0,0,0,0,0,22,YES,YES,2008-06-03
2008,6,3,2,1441,1440,1545,1545,WN,796,N641SW,64,65,52,0,1,BUF,BWI,281,3,9,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,2049,2050,2159,2155,WN,2298,N373SW,70,65,59,4,-1,BUF,BWI,281,3,8,0,,0,NA,NA,NA,NA,NA,YES,NO,2008-06-03
2008,6,3,2,2022,2025,2118,2130,WN,3063,N291WN,56,65,45,-12,-3,BUR,LAS,223,5,6,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1719,1720,1834,1830,WN,1932,N269WN,75,70,61,4,-1,BUR,OAK,325,3,11,0,,0,NA,NA,NA,NA,NA,YES,NO,2008-06-03
2008,6,3,2,1439,1440,1553,1605,WN,2704,N245WN,74,85,61,-12,-1,BUR,PHX,369,5,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,852,850,955,955,WN,2096,N493WN,63,65,50,0,2,BUR,SJC,296,3,10,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,1314,1315,1414,1420,WN,2214,N413WN,60,65,48,-6,-1,BUR,SJC,296,3,9,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,956,1000,1107,1115,WN,2798,N464WN,71,75,59,-8,-4,BUR,SMF,358,4,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,2057,2100,2158,2210,WN,2175,N294WN,61,70,48,-12,-3,BWI,ALB,288,5,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,647,650,756,800,WN,2962,N264LV,69,70,56,-4,-3,BWI,ALB,288,3,10,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,909,910,1014,1015,WN,524,N670SW,65,65,50,-1,-1,BWI,BDL,283,3,12,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1807,1810,1912,1920,WN,2057,N266WN,65,70,48,-8,-3,BWI,BDL,283,5,12,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1810,1815,1906,1915,WN,1154,N473WN,116,120,96,-9,-5,BWI,BHM,682,3,17,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1236,1235,1354,1320,WN,1624,N425LV,138,105,117,34,1,BWI,BNA,588,9,12,0,,0,0,0,34,0,0,YES,YES,2008-06-03
2008,6,3,2,735,740,821,830,WN,2434,N449WN,106,110,89,-9,-5,BWI,BNA,588,5,12,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1629,1630,1810,1815,WN,1711,N341SW,101,105,84,-5,-1,BWI,IND,515,7,10,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,623,630,717,735,WN,92,N276WN,54,65,44,-18,-7,BWI,ISP,220,3,7,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,749,755,935,950,WN,2340,N622SW,106,115,91,-15,-6,BWI,JAX,663,6,9,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,627,630,823,810,WN,265,N627SW,176,160,163,13,-3,BWI,MCI,967,4,9,0,,0,NA,NA,NA,NA,NA,YES,NO,2008-06-03
2008,6,3,2,2349,2050,146,2230,WN,1115,N672SW,177,160,158,196,179,BWI,MCI,967,6,13,0,,0,1,0,17,0,178,YES,YES,2008-06-03
2008,6,3,2,1107,1105,1211,1200,WN,1327,N728SW,124,115,112,11,2,BWI,MDW,611,5,7,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-03
2008,6,3,2,1410,1410,1520,1520,WN,1065,N335SW,70,70,54,0,0,BWI,PVD,328,4,12,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,824,825,927,930,WN,2371,N214WN,63,65,47,-3,-1,BWI,RDU,255,5,11,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,919,920,1156,1135,WN,2639,N704SW,337,315,316,21,-1,BWI,SAN,2295,2,19,0,,0,0,0,21,0,0,YES,NO,2008-06-03
2008,6,3,2,2034,1935,2151,2045,WN,884,N301SW,137,130,121,66,59,BWI,STL,737,3,13,0,,0,59,0,7,0,0,YES,YES,2008-06-03
2008,6,3,2,742,740,902,845,WN,1583,N397SW,140,125,127,17,2,BWI,STL,737,4,9,0,,0,0,0,17,0,0,YES,YES,2008-06-03
2008,6,3,2,1629,1620,1839,1845,WN,796,N641SW,130,145,117,-6,9,BWI,TPA,842,4,9,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,1346,1325,1551,1550,WN,1393,N404WN,125,145,112,1,21,BWI,TPA,842,4,9,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-03
2008,6,3,2,1701,1640,1722,1655,WN,313,N400WN,81,75,57,27,21,CLE,MDW,307,2,22,0,,0,0,0,6,0,21,YES,YES,2008-06-03
2008,6,3,2,922,910,939,925,WN,1738,N660SW,77,75,53,14,12,CLE,MDW,307,6,18,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-03
2008,6,3,2,934,620,1021,650,WN,3572,N616SW,107,90,91,211,194,CLE,STL,487,3,13,0,,0,194,0,17,0,0,YES,YES,2008-06-03
2008,6,3,2,825,830,829,835,WN,3325,N260WN,64,65,49,-6,-5,CMH,MDW,284,7,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,614,615,804,825,WN,2268,N220WN,110,130,100,-21,-1,CMH,TPA,829,4,6,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1747,1745,1839,1835,WN,48,N512SW,52,50,33,4,2,CRP,HOU,187,6,13,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-03
2008,6,3,2,859,855,948,935,WN,1534,N703SW,109,100,88,13,4,DAL,ABQ,580,6,15,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-03
2008,6,3,2,1825,1825,1906,1915,WN,3163,N407WN,41,50,31,-9,0,DAL,AUS,189,4,6,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,635,635,705,710,WN,3661,N421LV,90,95,82,-5,0,DAL,ELP,562,2,6,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,729,730,824,830,WN,3,N430WN,55,60,41,-6,-1,DAL,HOU,239,6,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1201,1200,1255,1300,WN,21,N351SW,54,60,42,-5,1,DAL,HOU,239,5,7,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,1530,1525,1627,1625,WN,28,N293,57,60,48,2,5,DAL,LBB,293,2,7,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-03
2008,6,3,2,739,735,840,840,WN,1636,N719SW,61,65,48,0,4,DAL,LIT,296,4,9,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,1343,1315,1454,1435,WN,3220,N692SW,71,80,61,19,28,DAL,MSY,437,3,7,0,,0,1,0,0,0,18,YES,YES,2008-06-03
2008,6,3,2,2120,2120,2216,2215,WN,1376,N351SW,56,55,43,1,0,DAL,SAT,248,3,10,0,,0,NA,NA,NA,NA,NA,YES,NO,2008-06-03
2008,6,3,2,1825,1815,2027,2035,WN,2637,N394SW,62,80,49,-8,10,DEN,AMA,358,4,9,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,814,810,1339,1335,WN,121,N644SW,205,205,193,4,4,DEN,BWI,1491,4,8,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-03
2008,6,3,2,730,730,1034,1050,WN,2531,N908WN,124,140,110,-16,0,DEN,MDW,895,5,9,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1209,1210,1223,1215,WN,2273,N204WN,74,65,52,8,-1,DTW,MDW,229,5,17,0,,0,NA,NA,NA,NA,NA,YES,NO,2008-06-03
2008,6,3,2,1050,1100,1329,1335,WN,29,N426WN,99,95,80,-6,-10,ELP,DAL,562,6,13,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1039,1040,1255,1305,WN,977,N794SW,76,85,63,-10,-1,ELP,SAT,496,3,10,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,649,650,804,805,WN,1488,N372SW,135,135,118,-1,-1,FLL,BNA,793,6,11,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,2032,2005,2336,2310,WN,2021,N440LV,184,185,165,26,27,FLL,BUF,1166,3,16,0,,0,0,0,0,0,26,YES,YES,2008-06-03
2008,6,3,2,1259,1300,1411,1415,WN,2500,N720WN,72,75,52,-4,-1,FLL,JAX,318,4,16,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,2030,2030,2141,2145,WN,3943,N778SW,71,75,50,-4,0,FLL,JAX,318,6,15,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1159,1200,1259,1300,WN,2002,N622SW,60,60,36,-1,-1,FLL,MCO,178,12,12,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,735,650,931,850,WN,3576,N349SW,56,60,47,41,45,GEG,BOI,287,2,7,0,,0,41,0,0,0,0,YES,YES,2008-06-03
